lon,lat,origin,,lon,lat,destination
120.32499,36.07263,g1,,120.32705,36.072958,g2
120.32705,36.072958,g2,,120.32838,36.073271,g3
120.32838,36.073271,g3,,120.32868,36.073585,g4
120.32868,36.073585,g4,,120.32947,36.0743,g5
120.32947,36.0743,g5,,120.33031,36.07492,g6
120.33031,36.07492,g6,,120.33045,36.075554,g7
120.33045,36.075554,g7,,120.32985,36.076539,g8
120.32985,36.076539,g8,,120.33028,36.077815,g9
120.33028,36.077815,g9,,120.33019,36.078413,g10
120.33019,36.078413,g10,,120.33136,36.078559,g11
120.33136,36.078559,g11,,120.3332,36.078471,g12
120.3332,36.078471,g12,,120.33509,36.079098,g13
120.33509,36.079098,g13,,120.34546,36.081089,g14
120.34546,36.081089,g14,,120.34298,36.081315,g15
120.34298,36.081315,g15,,120.34145,36.082409,g16
120.34145,36.082409,g16,,120.34013,36.083291,g17
120.34013,36.083291,g17,,120.33885,36.083751,g18
120.33885,36.083751,g18,,120.33953,36.084494,g19
120.33953,36.084494,g19,,120.3386,36.084859,g20
120.3386,36.084859,g20,,120.33675,36.085668,g21
120.33675,36.085668,g21,,120.33675,36.085703,g22
120.33675,36.085703,g22,,120.34091,36.089991,g23
120.34091,36.089991,g23,,120.34248,36.090384,g24
120.34248,36.090384,g24,,120.34336,36.090257,g25
120.34336,36.090257,g25,,120.34501,36.089892,g26
120.34501,36.089892,g26,,120.34803,36.091292,g27
120.34803,36.091292,g27,,120.35353,36.096746,g28
120.35353,36.096746,g28,,120.35504,36.100916,g29
120.35504,36.100916,g29,,120.35748,36.102957,g30
120.35748,36.102957,g30,,120.36057,36.103424,g31
120.36057,36.103424,g31,,120.36172,36.103482,g32
120.36172,36.103482,g32,,120.3679,36.101091,g33
120.3679,36.101091,g33,,120.39161,36.101966,g34
120.39161,36.101966,g34,,120.39212,36.106282,g35
120.39212,36.106282,g35,,120.39039,36.110655,g36
120.39039,36.110655,g36,,120.40045,36.11602,g37
120.40045,36.11602,g37,,120.43258,36.144879,g38
120.43258,36.144879,g38,,120.43373,36.162889,g39
120.43373,36.162889,g39,,120.43351,36.182351,g40
120.43351,36.182351,g40,,120.44695,36.182817,g41
120.44695,36.182817,g41,,120.43991,36.202915,g42
120.43991,36.202915,g42,,120.44055,36.212875,g43
120.44055,36.212875,g43,,120.44214,36.23966,g44
120.44214,36.23966,g44,,120.44214,36.257939,g45
120.44214,36.257939,g45,,120.43869,36.280287,g46
120.43869,36.280287,g46,,120.43746,36.305885,g47
120.43746,36.305885,g47,,120.42834,36.32851,g48
120.42834,36.32851,g48,,120.43044,36.325573,g49
120.43044,36.325573,g49,,120.45918,36.397187,g50
120.45918,36.397187,g50,,120.46378,36.43622,g51
120.46378,36.43622,g51,,120.47413,36.504018,g52
120.47413,36.504018,g52,,120.46206,36.543461,g53
120.46206,36.543461,g53,,120.45804,36.56619,g54
120.45804,36.56619,g54,,120.44481,36.644066,g55
120.44481,36.644066,g55,,120.43791,36.718623,g56
120.43791,36.718623,g56,,120.44251,36.76767,g57
120.44251,36.76767,g57,,120.45229,36.800043,g58
120.45229,36.800043,g58,,120.44366,36.861512,g59
